Date P RH SR TM TX
2013-09-03 0.4 76.36 603.66 22.8184933259709 32.9737998936893
2013-09-04 0 86.14 492.61 22.1502585448555 34.0570441596094
2013-09-05 20.5 89.4 478.49 23.1309780429975 33.9881064863209
2013-09-06 0.7 90.14 390.46 24.3015794933913 34.7738020291431
2013-09-07 8.1 85.76 560.86 24.2313060794461 35.0253226174688
2013-09-08 41.8 89.16 428.35 23.3256429540669 34.3183382411339
2013-09-09 73.5 85.81 528.74 24.6589518811948 34.3413294792692
2013-09-10 22 91.07 492.49 24.0456153588638 32.3821485327509
2013-09-11 92 91.33 573.55 22.9790315728542 33.3189913914425
2013-09-12 4.9 96.48 281.16 21.4842254476255 33.5976617484335
2013-09-13 2.4 96.4 186.04 23.9495752368187 33.4017116420546
2013-09-14 0.9 94.07 182.79 22.0563925880381 33.1134158854517
2013-09-15 0 86.66 389.05 21.762017966728 34.4803135522596
2013-09-16 0 87.36 489.75 21.7097660265598 36.2376381005279
2013-09-17 0.1 90.38 380.23 21.5528989918002 33.8599708266459
2013-09-18 21.8 88.96 546.36 22.1383032496982 32.3257420285105
2013-09-19 34.3 92.34 514.45 21.6546850917066 32.247264125564
2013-09-20 0.1 93.83 288.39 22.859459040764 33.5840899195164
2013-09-21 0 85.89 471.98 22.9490417326216 33.8990417326216
2013-09-22 4.6 89.5 435.11 22.2484072744592 33.7655452318942
2013-09-23 1 87.54 485.75 23.3153687180042 33.177388600566
2013-09-24 21 89.72 420.06 21.907235519072 33.1433032404082
2013-09-25 18.7 91.16 537.45 22.6774364257904 33.3128182955106
2013-09-26 0 90.24 466.22 23.0174005084053 32.8389884123758
2013-09-27 0 80.8 633.7 23.6309870187899 31.8863873515731
2013-09-28 0 83.3 634.64 22.5490558416111 32.2054033138187
2013-09-29 0 83.62 586.21 21.9482338224393 30.8654617616214
2013-09-30 3.5 80.74 577.53 22.2718983855371 29.1756625747141
2013-10-01 0 80.67 601.67 24.4912942622998 30.9849614219663
2013-10-02 48.9 88.75 457.99 24.1509258269921 32.2559663972816
2013-10-03 29.7 86.59 542.54 22.3083859885718 32.2879811530815
2013-10-04 0.2 89.21 542.49 22.152074479067 31.0538625513448
2013-10-05 0 84.09 617.18 22.6384298283215 30.7644218334
2013-10-06 4.2 81.96 631.26 23.4011758013037 31.0434526313169
2013-10-07 22.7 92.18 444.4 22.6219956261032 31.8521232246968
2013-10-08 171 97.06 323.78 22.344013061128 32.1296541177696
2013-10-09 2 96.25 264.23 20.9890692460657 33.6900744130955
2013-10-10 2.8 88.72 494.35 22.3469508436817 31.6644247001428
2013-10-11 0 84.69 612.74 20.9695035876304 30.2633365170444
2013-10-12 0 83.77 608.96 23.1146344041455 30.6390857012608
2013-10-13 0 83.23 605.2 24.4832256936836 30.6322205266538
2013-10-14 41.1 88.81 577.27 23.6660126055369 31.3331146282323
2013-10-15 0 85.04 570.95 20.2657247815674 31.2256657799957
2013-10-16 0 82.85 611.36 21.9380067842556 27.7374981854708
2013-10-17 0 86.69 531.17 21.2980722817946 30.8009668890477
2013-10-18 0 84.99 586.09 22.7839729564409 28.7255324462045
2013-10-19 115.7 86.25 531.56 22.0582455511006 31.8972299711916
2013-10-20 68.5 91.52 535.92 21.3087388461289 31.0749569988809
2013-10-21 10 88.86 557.69 22.2770500310268 32.0792976813509
2013-10-22 4.3 90.86 445.09 23.5136765370351 30.2423293695684
2013-10-23 32.9 96.03 333.92 22.8804915588664 33.5804915588664
2013-10-24 53.6 94.99 406.98 21.4949162398019 31.3287360229829
2013-10-25 52.1 95.6 310 19.5148522503398 30.676427419799
2013-10-26 17.8 98.8 227.21 21.7648787084097 30.5293137310739
2013-10-27 0.6 100 383.417936333333 23.9050052072053 31.7227254951215
2013-10-28 46.7 94.58 447.36 23.6421862617014 30.966731056524
2013-10-29 15.8 97.44 349.19 23.5842683761952 32.1440912842614
2013-10-30 0.1 89.39 550.73 21.6449983751719 31.7870751187714
2013-10-31 0 86.47 571.43 21.0587752638701 31.0890673086512
