"Date" "Value"
"2013-09-03" NA
"2013-09-04" NA
"2013-09-05" NA
"2013-09-06" NA
"2013-09-07" NA
"2013-09-08" NA
"2013-09-09" NA
"2013-09-10" NA
"2013-09-11" NA
"2013-09-12" NA
"2013-09-13" NA
"2013-09-14" NA
"2013-09-15" NA
"2013-09-16" NA
"2013-09-17" NA
"2013-09-18" NA
"2013-09-19" NA
"2013-09-20" NA
"2013-09-21" NA
"2013-09-22" NA
"2013-09-23" NA
"2013-09-24" NA
"2013-09-25" NA
"2013-09-26" NA
"2013-09-27" NA
"2013-09-28" NA
"2013-09-29" NA
"2013-09-30" NA
"2013-10-01" NA
"2013-10-02" NA
"2013-10-03" NA
"2013-10-04" NA
"2013-10-05" NA
"2013-10-06" NA
"2013-10-07" NA
"2013-10-08" NA
"2013-10-09" NA
"2013-10-10" NA
"2013-10-11" NA
"2013-10-12" NA
"2013-10-13" NA
"2013-10-14" NA
"2013-10-15" NA
"2013-10-16" NA
"2013-10-17" NA
"2013-10-18" NA
"2013-10-19" NA
"2013-10-20" NA
"2013-10-21" NA
"2013-10-22" NA
"2013-10-23" NA
"2013-10-24" NA
"2013-10-25" NA
"2013-10-26" NA
"2013-10-27" NA
"2013-10-28" NA
"2013-10-29" NA
"2013-10-30" NA
"2013-10-31" NA
"2013-11-01" NA
"2013-11-02" NA
"2013-11-03" NA
"2013-11-04" NA
"2013-11-05" NA
"2013-11-06" NA
"2013-11-07" NA
"2013-11-08" NA
"2013-11-09" NA
"2013-11-10" NA
"2013-11-11" NA
"2013-11-12" NA
"2013-11-13" NA
"2013-11-14" NA
"2013-11-15" NA
"2013-11-16" NA
"2013-11-17" NA
"2013-11-18" NA
"2013-11-19" NA
"2013-11-20" NA
"2013-11-21" NA
"2013-11-22" NA
"2013-11-23" NA
"2013-11-24" NA
"2013-11-25" NA
"2013-11-26" NA
"2013-11-27" NA
"2013-11-28" NA
"2013-11-29" NA
"2013-11-30" NA
"2013-12-01" NA
"2013-12-02" NA
"2013-12-03" NA
"2013-12-04" NA
"2013-12-05" NA
"2013-12-06" NA
"2013-12-07" NA
"2013-12-08" NA
"2013-12-09" NA
"2013-12-10" NA
"2013-12-11" NA
"2013-12-12" NA
"2013-12-13" NA
"2013-12-14" NA
"2013-12-15" NA
"2013-12-16" NA
"2013-12-17" NA
"2013-12-18" NA
"2013-12-19" NA
"2013-12-20" NA
"2013-12-21" NA
"2013-12-22" NA
"2013-12-23" NA
"2013-12-24" NA
"2013-12-25" NA
"2013-12-26" NA
"2013-12-27" NA
"2013-12-28" NA
"2013-12-29" NA
"2013-12-30" NA
"2013-12-31" NA
"2014-01-01" NA
"2014-01-02" NA
"2014-01-03" NA
"2014-01-04" NA
"2014-01-05" NA
"2014-01-06" NA
"2014-01-07" NA
"2014-01-08" NA
"2014-01-09" NA
"2014-01-10" NA
"2014-01-11" NA
"2014-01-12" NA
"2014-01-13" NA
"2014-01-14" NA
"2014-01-15" NA
"2014-01-16" NA
"2014-01-17" NA
"2014-01-18" NA
"2014-01-19" NA
"2014-01-20" NA
"2014-01-21" NA
"2014-01-22" NA
"2014-01-23" NA
"2014-01-24" NA
"2014-01-25" NA
"2014-01-26" NA
"2014-01-27" NA
"2014-01-28" NA
"2014-01-29" NA
"2014-01-30" NA
"2014-01-31" NA
"2014-02-01" NA
"2014-02-02" NA
"2014-02-03" NA
"2014-02-04" NA
"2014-02-05" NA
"2014-02-06" NA
"2014-02-07" NA
"2014-02-08" NA
"2014-02-09" NA
"2014-02-10" NA
"2014-02-11" NA
"2014-02-12" NA
"2014-02-13" NA
"2014-02-14" NA
"2014-02-15" NA
"2014-02-16" NA
"2014-02-17" NA
"2014-02-18" NA
"2014-02-19" NA
"2014-02-20" NA
"2014-02-21" NA
"2014-02-22" NA
"2014-02-23" NA
"2014-02-24" NA
"2014-02-25" NA
"2014-02-26" NA
"2014-02-27" NA
"2014-02-28" NA
"2014-03-01" NA
"2014-03-02" NA
"2014-03-03" NA
"2014-03-04" NA
"2014-03-05" NA
"2014-03-06" NA
"2014-03-07" NA
"2014-03-08" NA
"2014-03-09" NA
"2014-03-10" NA
"2014-03-11" NA
"2014-03-12" NA
"2014-03-13" NA
"2014-03-14" NA
"2014-03-15" NA
"2014-03-16" NA
"2014-03-17" NA
"2014-03-18" NA
"2014-03-19" NA
"2014-03-20" NA
"2014-03-21" NA
"2014-03-22" NA
"2014-03-23" NA
"2014-03-24" NA
"2014-03-25" NA
"2014-03-26" NA
"2014-03-27" NA
"2014-03-28" NA
"2014-03-29" NA
"2014-03-30" NA
"2014-03-31" NA
"2014-04-01" NA
"2014-04-02" NA
"2014-04-03" NA
"2014-04-04" NA
"2014-04-05" NA
"2014-04-06" NA
"2014-04-07" NA
"2014-04-08" NA
"2014-04-09" NA
"2014-04-10" NA
"2014-04-11" NA
"2014-04-12" NA
"2014-04-13" NA
"2014-04-14" NA
"2014-04-15" NA
"2014-04-16" NA
"2014-04-17" NA
"2014-04-18" NA
"2014-04-19" NA
"2014-04-20" NA
"2014-04-21" NA
"2014-04-22" NA
"2014-04-23" NA
"2014-04-24" NA
"2014-04-25" NA
