ID_CULTIVO,ID_LOTE,ID_FINCA,FECHA_SIEMBRA,FECHA_COSECHA,TIPO_SIEMBRA,SEM_TRATADAS,DIST_SURCOS,DIST_PLANTAS,COLOR_ENDOSPERMO,SEM_POR_SITIO,CULT_ANT,DRENAJE,POBLACION_20DIAS,METODO_COSECHA,PROD_COSECHADO,ALMACENAMIENTO_FINCA,ContEnfQui,ContMalQui,ContPlaQui,CanFerQui,TotN,Totp,Totk,PENDIENTE,PH,ESTRUCTURA_RASTA,MAT_ORGANICA,DRE_INTERN,DREN_EXTERN,PROF_EFEC,MATERIAL_GENETICO1,DEPARTAMENTO,MUNICIPIO,RDT,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Temp_Min_15_Freq_Veg,Rhum_Avg_Veg,Rhum_sd_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Temp_Min_15_Freq_For,Rhum_Avg_For,Rhum_sd_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Temp_Min_15_Freq_Mad,Rhum_Avg_Mad,Rhum_sd_Mad,Textura
1770,1547,1381,8/28/2014,1/20/2015,3,SI,0.8,0.2,Amarillo,N/A,Maiz,FALSO,59000,2,Grano seco,NO,0,1,2,2,92,0,0,2,5,MASIVA,MEDIA,BUENO,NINGUNO,58,Otro,CÓRDOBA,CIÉNAGA DE ORO,3800,32.57474747,23.95959596,28.26717172,8.615151515,36343.55239,0.171717172,488.8,0.141414141,0,81.86868687,3.91398973,32.50526316,24.07368421,28.28947368,8.431578947,20434.40457,0.140350877,264.2,0.122807018,0,82.42105263,3.784117978,33.79583333,23.38116425,28.58849879,10.41466908,19283.13621,0.541666667,67.4,0.041666667,0,77.45833333,5.554213786,AF
1771,1548,1382,8/29/2014,1/29/2015,3,SI,0.8,0.2,Amarillo,N/A,Maiz,FALSO,62000,2,Grano seco,NO,0,1,2,2,92,0,0,3,5.5,MASIVA,BAJA,BUENO,LENTO,46,Otro,CÓRDOBA,CIÉNAGA DE ORO,4000,32.57070707,23.98787879,28.27929293,8.582828283,36256.19456,0.171717172,488.8,0.141414141,0,81.93939394,3.851366526,32.50877193,24.09122807,28.3,8.41754386,20448.90958,0.140350877,192.2,0.105263158,0,82.28070175,3.797341109,33.82142857,23.3499265,28.58567754,10.47150207,22415.81833,0.517857143,67.9,0.035714286,0,77.23214286,5.211843406,FA
1772,1549,1383,10/1/2014,2/6/2015,3,NO,0.8,0.2,Amarillo,N/A,Maiz,FALSO,58000,2,Grano seco,NO,0,3,1,2,92,0,0,2,6,ATERRONADA,MEDIA,BUENO,NINGUNO,70,Otro,CÓRDOBA,CERETÉ,3600,32.94343434,23.80096853,28.37220143,9.142465817,37611.7641,0.262626263,366.2,0.101010101,0,80.78787879,4.982157404,33.46666667,23.74378744,28.60522705,9.722879227,22876.24075,0.385964912,96.6,0.052631579,0,78.96491228,4.964031024,34.41290323,23.51935484,28.96612903,10.89354839,12553.90036,0.64516129,7.9,0,0,75.64516129,2.775468574,FAr
1773,1550,1384,9/19/2014,1/30/2015,1,NO,0.8,0.2,Amarillo,N/A,Maiz,VERDADERO,75000,2,Grano seco,NO,0,2,2,2,92,0,0,2,5,MASIVA,MEDIA,BUENO,NINGUNO,22,Otro,CÓRDOBA,CIÉNAGA DE ORO,4500,32.66868687,24.02420085,28.34644386,8.644486019,36431.19874,0.161616162,410.6,0.111111111,0,82,3.722518349,32.89824561,24.07185762,28.48505161,8.826387999,21449.07883,0.175438596,133.8,0.070175439,0,81.1754386,3.354755724,34.42777778,23.04444444,28.73611111,11.38333333,14873.5546,0.75,0.5,0,0,74.63888889,4.389290719,Ar
1778,1555,1388,8/10/2014,12/23/2014,3,SI,0.8,0.2,Blanco,N/A,Maiz,VERDADERO,60000,2,Grano seco,NO,0,2,2,3,138,0,0,2,5.5,ATERRONADA,MEDIA,BUENO,NINGUNO,70,DK 234 YGRR,CÓRDOBA,CIÉNAGA DE ORO,5000,32.36363636,23.81616162,28.08989899,8.547474747,36223.92277,0.111111111,590.4,0.171717172,0,82.02020202,3.904418737,32.28070175,23.95087719,28.11578947,8.329824561,20237.47017,0.087719298,330.2,0.157894737,0,82.96491228,3.941378078,33.08947368,24.09462853,28.59205111,8.994845156,14586.52099,0.210526316,78.6,0.052631579,0,81.02631579,2.833075324,Ar
1799,1575,1407,8/27/2014,1/5/2015,1,NO,0.8,0.2,Blanco,N/A,Maiz,VERDADERO,58000,1,Grano seco,NO,0,2,2,2,92,0,0,3,5.5,ATERRONADA,MEDIA,BUENO,LENTO,70,DK 234,CÓRDOBA,COTORRA,4000,32.18091846,23.40516088,27.79303967,8.775757576,36216.37625,0.141414141,293.6,0.111111111,0,83.84650189,3.283502957,32.03592327,23.54820397,27.79206362,8.487719298,19995.82692,0.105263158,147.3,0.105263158,0,83.89650932,3.45306748,32.65998929,23.36881282,28.01440106,9.291176471,13341.8707,0.176470588,42.6,0,0,82.55914453,4.048088128,Ar
1800,1576,1408,9/8/2014,1/28/2015,3,SI,0.8,0.2,Amarillo,N/A,Maiz,FALSO,62000,2,Grano seco,NO,0,2,2,2,92,0,0,5,5,MASIVA,MEDIA,BUENO,LENTO,27,Otro,CÓRDOBA,CERETÉ,4000,32.44343434,24.0030303,28.22323232,8.44040404,35776.39581,0.131313131,504.9,0.141414141,0,82.4040404,3.722296833,32.76842105,24.12105263,28.44473684,8.647368421,20951.77946,0.157894737,137.6,0.070175439,0,81.71929825,3.457674621,34.08444444,23.18879742,28.63662093,10.89564702,18299.90185,0.6,8.5,0,0,76.15555556,4.894131716,L
2008,1790,1663,5/15/2015,9/17/2015,3,SI,0.8,0.5,Amarillo,N/A,Algodón,VERDADERO,62000,2,Grano seco,NO,0,1,1,2,46,0,60,2,6,GRANULAR,MEDIA,BUENO,NINGUNO,60,PIONEER 30F35,CÓRDOBA,CIÉNAGA DE ORO,1600,32.29954032,23.78943931,28.04448981,8.51010101,37856.14652,0.161616162,953.3,0.252525253,0,84.95851588,2.845674541,32.54086486,23.81630346,28.17858416,8.724561404,21924.17813,0.245614035,719.3,0.315789474,0,84.52976983,3.062569141,32.14212624,23.10284053,27.62248338,9.039285714,10875.00474,0,218.4,0.285714286,0,84.8727988,2.348781095,FAr
2010,1792,1676,5/27/2015,10/4/2015,1,SI,0.8,0.15,Blanco,N/A,Algodón,VERDADERO,75000,1,Grano seco,NO,0,4,3,3,92,0,60,3,5.5,GRANULAR,BAJA,LENTO A MUY LENTO,LENTO,35,Otro,CÓRDOBA,SAN PELAYO,6000,33.52431581,24.18290167,28.85360874,9.341414141,38147.98497,0.343434343,918.9,0.222222222,0,79.44587478,4.781438067,32.72560173,23.56770699,28.14665436,9.157894737,21786.18254,0.175438596,801.2,0.333333333,0,80.89548218,3.609432427,32.24728925,23.14425895,27.6957741,9.103030303,12769.53658,0.03030303,373.4,0.242424242,0,79.653913,2.690466028,FAr
2011,1793,1677,5/27/2015,9/28/2015,1,SI,0.8,0.13,Blanco,N/A,Algodón,VERDADERO,75000,1,Grano seco,NO,1,3,4,5,110,46,120,4,6,GRANULAR,BAJA,LENTO A MUY LENTO,LENTO,25,Otro,CÓRDOBA,CERETÉ,6100,33.52431581,24.18290167,28.85360874,9.341414141,38147.98497,0.343434343,918.9,0.222222222,0,79.44587478,4.781438067,32.72560173,23.56770699,28.14665436,9.157894737,21786.18254,0.175438596,801.2,0.333333333,0,80.89548218,3.609432427,32.3729696,23.19889553,27.78593256,9.174074074,10625.91094,0.037037037,275.6,0.259259259,0,79.26029355,2.493499912,FAr
