Id,AB_Thorn,AB_W_Thorn,Nar,Cal,cal_riosu_zr, Na_un_cusal,Na_un_cusba,srtm,slope,intDrain,extDrain,effDepth,trmm_0,trmm_1,trmm_2,trmm_3,tempAvg_0,tempRang_0,PrecAcc_0,tempAvg_1,tempRang_1,PrecAcc_1,tempAvg_2,tempRang_2,PrecAcc_2,tempAvg_3,tempRang_3,PrecAcc_3,Yield
1,1,1,0,0,0,0,1,2349,32,2,3,70,3.822440167,4.8146157,3.426696733,3.656759637,15.5,7.6,210,15.5,7.2,321,151,74,286,157,79,222,0.00118
2,1,1,0,0,0,0,1,2349,32,2,3,70,1.4509891,4.008026667,4.7970986,2.961126137,15.5,8.4,180,15.5,7.6,210,155,72,321,151,74,286,0.00147
3,1,1,0,0,0,0,1,2349,32,2,3,70,1.125383167,4.006805267,4.5879162,3.550940333,15.5,8.4,180,15.5,7.6,210,155,72,321,151,74,286,0.00147
4,1,1,0,0,0,0,1,2349,32,2,3,70,3.467805067,3.894923967,3.681143333,4.69856237,15.5,7.6,210,15.5,7.2,321,151,74,286,157,79,222,0.00147
5,1,1,0,0,0,0,1,2349,32,2,3,70,1.292576267,3.525988867,4.457657933,3.145616267,15.5,8.4,180,15.5,7.6,210,155,72,321,151,74,286,0.00176
6,1,1,0,0,0,0,1,2399,50,2,2,75,1.245746033,2.118952067,1.3957803,7.2881774,14.6,8,144,14,7.9,121,140,75,153,140,72,270,0.00214
7,1,1,0,0,0,0,1,2349,32,2,3,70,3.401254767,2.907155333,4.404803667,3.214887937,15.5,8.4,180,15.5,7.6,210,155,72,321,151,74,286,0.00235
8,1,1,0,0,0,0,1,2349,32,2,3,70,1.529360067,1.6490497,4.1522457,4.678530467,15.3,8.1,200,15.5,8.4,180,155,76,210,155,72,321,0.00235
9,1,1,0,0,0,0,1,2399,50,2,2,75,2.4647065,0.6907342,3.200793767,7.511240733,14.6,8,144,14,7.9,121,140,75,153,140,72,270,0.0025
10,1,1,0,0,0,0,1,2399,50,2,2,75,0.8027038,2.0179651,7.830376833,5.769733367,14,7.9,121,14,7.5,153,140,72,270,142,70,309,0.0025
11,0,1,0,0,0,0,1,2331,2,2,2,75,4.490317233,4.691298067,2.901512867,1.3218506,15.1,7.5,279,15.3,7.4,338,154,81,246,157,82,202,0.00267
12,0,1,0,0,0,0,1,2331,2,2,2,75,2.473164767,1.554052767,1.1462866,3.789316867,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.00289
13,0,1,0,0,0,0,1,2331,2,2,2,75,2.915040567,1.2986223,1.268334367,3.456328267,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.00289
14,1,1,0,0,0,0,1,2349,32,2,3,70,1.4904492,1.006705167,3.559744267,4.7913762,15.3,8.1,200,15.5,8.4,180,155,76,210,155,72,321,0.00294
15,1,1,0,0,0,0,1,2349,32,2,3,70,1.4504941,1.279280867,3.553902267,3.436973633,15.3,8.1,200,15.5,8.4,180,155,76,210,155,72,321,0.00294
16,0,1,0,0,0,0,1,2331,2,2,2,75,2.7909908,2.080983197,5.3748122,3.8231898,15.4,8.1,129,15.2,7.7,179,151,75,279,153,74,338,0.00311
17,1,1,0,0,0,0,1,2349,32,2,3,70,3.766939667,5.1590607,3.039027833,3.319416237,15.5,7.6,210,15.5,7.2,321,151,74,286,157,79,222,0.00323
18,0,1,0,0,0,0,1,2331,2,2,2,75,3.341887267,5.762997433,3.188047567,1.4425326,15.2,7.7,179,15.1,7.5,279,153,74,338,154,81,246,0.00333
19,0,1,0,0,0,0,1,2331,2,2,2,75,2.05965613,3.012508667,5.817395433,2.8541115,15.4,8.1,129,15.2,7.7,179,151,75,279,153,74,338,0.00333
