id_lote,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Eff_depth,pH,SOM,Drain,Text,Pl_dens,Pl_patt,Var,Int,Harv_Date,Yield_plant,Yield_area,Place
882,219,110,91,325,282,162,120,214,220,222,214,1955,265,84,37,662,293,408,662,70,5,Medium,Moderate,FAr,1600,Square,Dominico-harton,si,6/10/2012,12.75,18.88888889,Zone_1
883,219,110,91,325,282,162,120,214,220,222,214,1955,265,84,37,662,293,408,662,70,4,Medium,Moderate,F,1600,Square,Dominico-harton,si,11/20/2014,13.13,21,Zone_1
889,209,102,91,340,266,154,112,204,210,211,204,2064,280,82,37,715,301,432,715,70,4,Very High,Moderate,FA,1600,Square,Harton,si,5/20/2015,13.65,22.06896552,Zone_1
892,227,114,91,321,292,168,124,223,228,230,222,1777,244,79,36,587,286,357,563,70,3.8,High,Moderate,ArA,1600,Square,Harton,si,1/10/2014,13.53,14.375,Zone_2
902,211,103,91,316,269,156,113,206,212,213,206,2020,274,82,37,696,299,421,696,70,5,Medium,Moderate,F,1600,Square,Dominico-harton,si,5/10/2012,2.22,1.333333333,Zone_1
903,211,103,91,316,269,156,113,206,212,213,206,2020,274,82,37,696,299,421,696,70,4,Medium,Moderate,FL,555.56,Quincunx,Dominico,si,2/10/2013,1.52,0.7,Zone_1
927,223,112,91,324,287,164,123,219,224,225,218,1932,262,83,36,643,292,403,636,70,3,Medium,Moderate,F,1111.11,Square,Dominico-harton,si,9/20/2015,2.8,1.3125,Zone_2
931,223,112,91,309,287,165,122,219,224,225,218,1870,255,82,36,625,291,382,616,70,6,Medium,Moderate,FAr,1000,Square,"Harton, dominico ",si,2/20/2013,24,20,Zone_2
932,223,112,91,324,287,164,123,219,224,225,218,1932,262,83,36,643,292,403,636,70,4,Medium,Moderate,F,833.33,Square,Dominico-harton,si,9/10/2013,4.25,5.666666667,Zone_2
933,227,113,90,335,291,166,125,223,228,229,221,1815,249,80,36,599,288,369,575,70,5.5,High,Moderate,FAr,1666.67,Square,Dominico-harton,si,10/10/2014,6,6,Zone_1
